"Fecha","NFLX.Open","NFLX.High","NFLX.Low","NFLX.Close","NFLX.Volume","NFLX.Adjusted","Año","Año2g","Mes_num","Mes_txt","Mes_txt2","Dia_num","Dia_año","Dia_txt","Dia_txt2","Semana_D","Semana_L","Trimestre","TrimestreQ"
2024-03-05,61.0099983215332,61.0909996032715,59.2000007629395,59.8499984741211,38496000,59.8499984741211,"2024","24","03","marzo","mar.","05","065","martes","mar.","09","10",1,2024 Q1
2024-03-06,60.298999786377,60.7929992675781,59.3559989929199,59.7690010070801,24696000,59.7690010070801,"2024","24","03","marzo","mar.","06","066","miércoles","mié.","09","10",1,2024 Q1
2024-03-07,59.9339981079102,61.0530014038086,59.5900001525879,60.851001739502,27428000,60.851001739502,"2024","24","03","marzo","mar.","07","067","jueves","jue.","09","10",1,2024 Q1
2024-03-08,60.8269996643066,61.609001159668,60.0839996337891,60.4819984436035,27772000,60.4819984436035,"2024","24","03","marzo","mar.","08","068","viernes","vie.","09","10",1,2024 Q1
2024-03-11,60.8079986572266,61.0999984741211,60.0369987487793,60.0929985046387,25009000,60.0929985046387,"2024","24","03","marzo","mar.","11","071","lunes","lun.","10","11",1,2024 Q1
2024-03-12,60.0209999084473,61.5299987792969,59.6269989013672,61.1080017089844,28216000,61.1080017089844,"2024","24","03","marzo","mar.","12","072","martes","mar.","10","11",1,2024 Q1
2024-03-13,61.3370018005371,61.4850006103516,60.7210006713867,60.9449996948242,21921000,60.9449996948242,"2024","24","03","marzo","mar.","13","073","miércoles","mié.","10","11",1,2024 Q1
2024-03-14,61.5,62.0800018310547,60.7350006103516,61.3009986877441,31205000,61.3009986877441,"2024","24","03","marzo","mar.","14","074","jueves","jue.","10","11",1,2024 Q1
2024-03-15,62.2919998168945,62.2919998168945,60.3819999694824,60.5880012512207,66716000,60.5880012512207,"2024","24","03","marzo","mar.","15","075","viernes","vie.","10","11",1,2024 Q1
2024-03-18,61.3559989929199,62.7410011291504,61.0449981689453,61.8390007019043,33442000,61.8390007019043,"2024","24","03","marzo","mar.","18","078","lunes","lun.","11","12",1,2024 Q1
2024-03-19,61.5620002746582,62.1279983520508,60.7999992370605,62.0740013122559,21426000,62.0740013122559,"2024","24","03","marzo","mar.","19","079","martes","mar.","11","12",1,2024 Q1
2024-03-20,61.9949989318848,62.951000213623,61.8339996337891,62.7690010070801,26395000,62.7690010070801,"2024","24","03","marzo","mar.","20","080","miércoles","mié.","11","12",1,2024 Q1
2024-03-21,63.064998626709,63.4360008239746,62.2330017089844,62.2709999084473,25077000,62.2709999084473,"2024","24","03","marzo","mar.","21","081","jueves","jue.","11","12",1,2024 Q1
2024-03-22,62.4160003662109,62.9049987792969,62.0999984741211,62.8009986877441,21357000,62.8009986877441,"2024","24","03","marzo","mar.","22","082","viernes","vie.","11","12",1,2024 Q1
2024-03-25,62.7900009155273,63.0460014343262,62.3160018920898,62.7459983825684,18033000,62.7459983825684,"2024","24","03","marzo","mar.","25","085","lunes","lun.","12","13",1,2024 Q1
2024-03-26,62.5200004577637,63.4389991760254,61.9179992675781,62.923999786377,28045000,62.923999786377,"2024","24","03","marzo","mar.","26","086","martes","mar.","12","13",1,2024 Q1
2024-03-27,62.9010009765625,63.1349983215332,61.0730018615723,61.3530006408691,26283000,61.3530006408691,"2024","24","03","marzo","mar.","27","087","miércoles","mié.","12","13",1,2024 Q1
